time,fps,curent_speed,move_x,move_y,is_forward,is_left,is_right,is_backward,is_colliding,front_detect
00:04:36,"30","2.20","1.77","1.30","False","False","False","False","True","True"
00:04:39,"30","2.15","1.73","1.27","False","False","False","False","True","True"
00:04:42,"30","2.10","1.69","1.24","False","False","False","False","True","True"
00:04:45,"30","2.05","1.65","1.21","False","False","False","False","True","True"
00:04:48,"30","2.00","1.61","1.18","False","False","False","False","True","True"
00:04:51,"30","1.95","1.57","1.15","False","False","False","False","True","True"
00:04:54,"30","1.90","1.53","1.12","False","False","False","False","True","True"
00:04:57,"30","1.85","1.49","1.10","False","False","False","False","True","True"
00:05:00,"30","1.80","1.45","1.07","False","False","False","False","True","True"
00:05:03,"29","1.75","1.41","1.04","False","False","False","False","True","True"
00:05:06,"29","1.70","1.37","1.01","False","False","False","False","True","True"
00:05:09,"29","1.65","1.33","0.98","False","False","False","False","True","True"
00:05:12,"29","1.60","1.29","0.95","False","False","False","False","True","True"
00:05:15,"29","1.55","1.25","0.92","False","False","False","False","True","True"
00:05:18,"29","1.50","1.21","0.89","False","False","False","False","True","True"
00:05:21,"29","1.45","1.17","0.86","False","False","False","False","True","True"
00:05:24,"29","1.40","1.13","0.83","False","False","False","False","True","True"
00:05:27,"29","1.35","1.09","0.80","False","False","False","False","True","True"
00:05:30,"29","1.30","1.05","0.77","False","False","False","False","True","True"
00:05:33,"30","1.25","1.01","0.74","False","False","False","False","True","True"
00:05:36,"30","1.20","0.97","0.71","False","False","False","False","True","True"
00:05:39,"30","1.15","0.93","0.68","False","False","False","False","True","True"
